time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,date_appeals_by,school_phase,admissions,appeals_lodged_number,appeals_lodged_percentage,appeals_heard_number,appeals_heard_percentage,successful_appeals_number,successful_appeals_percentage
2025,Reporting year,National,E92000001,England,,,,,,01-Sep-24,Primary,754955,14584,1.9,8999,1.2,1595,17.7
2025,Reporting year,Regional,E92000001,England,E12000001,North East,,,,01-Sep-24,Primary,31336,295,0.9,201,0.6,69,34.3
2025,Reporting year,Regional,E92000001,England,E12000002,North West,,,,01-Sep-24,Primary,95401,2856,3,1850,1.9,358,19.4
2025,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,01-Sep-24,Primary,72697,1843,2.5,1161,1.6,269,23.2
2025,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,01-Sep-24,Primary,67027,2021,3,1196,1.8,189,15.8
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,01-Sep-24,Primary,83696,2112,2.5,1321,1.6,184,13.9
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,01-Sep-24,Primary,88549,1476,1.7,833,0.9,158,19
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,01-Sep-24,Primary,115341,1370,1.2,805,0.7,54,6.7
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,01-Sep-24,Primary,133199,1774,1.3,1147,0.9,193,16.8
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,01-Sep-24,Primary,67709,837,1.2,485,0.7,121,24.9
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,01-Sep-24,Primary,35667,488,1.4,286,0.8,19,6.6
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,01-Sep-24,Primary,79674,882,1.1,519,0.7,35,6.7
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000001,201,City of London,01-Sep-24,Primary,35,0,0,0,0,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000007,202,Camden,01-Sep-24,Primary,1580,35,2.2,20,1.3,1,5
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000011,203,Greenwich,01-Sep-24,Primary,3744,46,1.2,34,0.9,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000012,204,Hackney,01-Sep-24,Primary,2424,11,0.5,9,0.4,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000013,205,Hammersmith and Fulham,01-Sep-24,Primary,1442,6,0.4,4,0.3,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000019,206,Islington,01-Sep-24,Primary,1927,26,1.3,16,0.8,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000020,207,Kensington and Chelsea,01-Sep-24,Primary,1135,5,0.4,5,0.4,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000022,208,Lambeth,01-Sep-24,Primary,2847,40,1.4,15,0.5,2,13.3
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000023,209,Lewisham,01-Sep-24,Primary,3712,113,3,19,0.5,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000028,210,Southwark,01-Sep-24,Primary,3242,15,0.5,10,0.3,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000030,211,Tower Hamlets,01-Sep-24,Primary,3589,54,1.5,49,1.4,1,2
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000032,212,Wandsworth,01-Sep-24,Primary,3027,35,1.2,24,0.8,3,12.5
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000033,213,Westminster,01-Sep-24,Primary,1422,12,0.8,12,0.8,8,66.7
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000002,301,Barking and Dagenham,01-Sep-24,Primary,4659,233,5,99,2.1,9,9.1
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000003,302,Barnet,01-Sep-24,Primary,5198,33,0.6,18,0.3,4,22.2
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000004,303,Bexley,01-Sep-24,Primary,3538,11,0.3,8,0.2,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000005,304,Brent,01-Sep-24,Primary,4804,40,0.8,37,0.8,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000006,305,Bromley,01-Sep-24,Primary,4775,21,0.4,15,0.3,5,33.3
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000008,306,Croydon,01-Sep-24,Primary,5912,83,1.4,49,0.8,4,8.2
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000009,307,Ealing,01-Sep-24,Primary,4695,61,1.3,36,0.8,1,2.8
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000010,308,Enfield,01-Sep-24,Primary,4875,43,0.9,22,0.5,2,9.1
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000014,309,Haringey,01-Sep-24,Primary,3759,19,0.5,15,0.4,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000015,310,Harrow,01-Sep-24,Primary,3767,24,0.6,19,0.5,1,5.3
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000016,311,Havering,01-Sep-24,Primary,4640,92,2,68,1.5,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000017,312,Hillingdon,01-Sep-24,Primary,5086,6,0.1,5,0.1,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000018,313,Hounslow,01-Sep-24,Primary,4008,41,1,29,0.7,2,6.9
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000021,314,Kingston upon Thames,01-Sep-24,Primary,2244,12,0.5,3,0.1,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000024,315,Merton,01-Sep-24,Primary,2388,15,0.6,6,0.3,0,0
2025,Reporting year,Local authority,E92000001,England,E13000001,Inner London,E09000025,316,Newham,01-Sep-24,Primary,5526,117,2.1,88,1.6,4,4.5
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000026,317,Redbridge,01-Sep-24,Primary,5258,73,1.4,48,0.9,2,4.2
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000027,318,Richmond upon Thames,01-Sep-24,Primary,2832,8,0.3,5,0.2,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000029,319,Sutton,01-Sep-24,Primary,3477,8,0.2,1,0,0,0
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,E09000031,320,Waltham Forest,01-Sep-24,Primary,3774,32,0.8,17,0.5,5,29.4
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,01-Sep-24,Primary,18285,382,2.1,241,1.3,24,10
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,331,Coventry,01-Sep-24,Primary,5073,322,6.3,206,4.1,62,30.1
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,01-Sep-24,Primary,3883,107,2.8,64,1.6,7,10.9
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,333,Sandwell,01-Sep-24,Primary,5676,159,2.8,105,1.8,2,1.9
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000029,334,Solihull,01-Sep-24,Primary,3485,117,3.4,46,1.3,0,0
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,335,Walsall,01-Sep-24,Primary,4841,69,1.4,56,1.2,4,7.1
2025,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,336,Wolverhampton,01-Sep-24,Primary,3970,183,4.6,137,3.5,1,0.7
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,01-Sep-24,Primary,2087,33,1.6,26,1.2,5,19.2
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,01-Sep-24,Primary,6505,184,2.8,89,1.4,3,3.4
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,01-Sep-24,Primary,2136,28,1.3,20,0.9,3,15
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,01-Sep-24,Primary,3222,110,3.4,65,2,23,35.4
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,01-Sep-24,Primary,4063,129,3.2,45,1.1,7,15.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,01-Sep-24,Primary,4593,234,5.1,194,4.2,26,13.4
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,01-Sep-24,Primary,2423,77,3.2,32,1.3,6,18.8
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,01-Sep-24,Primary,7860,288,3.7,147,1.9,33,22.4
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,01-Sep-24,Primary,3751,152,4.1,96,2.6,9,9.4
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,01-Sep-24,Primary,3209,126,3.9,94,2.9,10,10.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,01-Sep-24,Primary,3557,220,6.2,130,3.7,18,13.8
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,01-Sep-24,Primary,4013,64,1.6,44,1.1,6,13.6
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,01-Sep-24,Primary,3050,78,2.6,66,2.2,16,24.2
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,01-Sep-24,Primary,3189,35,1.1,19,0.6,2,10.5
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,01-Sep-24,Primary,3770,130,3.4,100,2.7,26,26
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,01-Sep-24,Primary,3006,52,1.7,35,1.2,7,20
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,01-Sep-24,Primary,4541,97,2.1,55,1.2,17,30.9
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,01-Sep-24,Primary,4050,103,2.5,67,1.7,35,52.2
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,01-Sep-24,Primary,7777,129,1.7,86,1.1,13,15.1
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,380,Bradford,01-Sep-24,Primary,7854,252,3.2,166,2.1,35,21.1
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,01-Sep-24,Primary,2670,36,1.3,16,0.6,1,6.3
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,01-Sep-24,Primary,6609,268,4.1,179,2.7,46,25.7
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,01-Sep-24,Primary,10526,258,2.5,131,1.2,29,22.1
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,384,Wakefield,01-Sep-24,Primary,5111,127,2.5,79,1.5,11,13.9
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,01-Sep-24,Primary,2300,15,0.7,11,0.5,3,27.3
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,01-Sep-24,Primary,3512,45,1.3,39,1.1,5,12.8
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,01-Sep-24,Primary,2312,22,1,13,0.6,4,30.8
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,01-Sep-24,Primary,1862,15,0.8,12,0.6,7,58.3
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,01-Sep-24,Primary,3706,30,0.8,21,0.6,14,66.7
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,E06000053,420,Isles of Scilly,01-Sep-24,Primary,18,0,0,0,0,0,0
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,E06000022,800,Bath and North East Somerset,01-Sep-24,Primary,2311,1,0,1,0,0,0
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,E06000023,801,"Bristol, City of",01-Sep-24,Primary,5899,20,0.3,4,0.1,0,0
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,E06000024,802,North Somerset,01-Sep-24,Primary,2666,22,0.8,18,0.7,2,11.1
2025,Reporting year,Local authority,E92000001,England,E12000009,South West,E06000025,803,South Gloucestershire,01-Sep-24,Primary,3998,27,0.7,17,0.4,6,35.3
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,01-Sep-24,Primary,1154,13,1.1,12,1,3,25
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,01-Sep-24,Primary,2039,45,2.2,30,1.5,9,30
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,01-Sep-24,Primary,1451,1,0.1,0,0,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,01-Sep-24,Primary,2510,24,1,10,0.4,3,30
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",01-Sep-24,Primary,3517,307,8.7,210,6,44,21
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,811,East Riding of Yorkshire,01-Sep-24,Primary,3957,53,1.3,35,0.9,2,5.7
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,812,North East Lincolnshire,01-Sep-24,Primary,2135,6,0.3,6,0.3,2,33.3
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,813,North Lincolnshire,01-Sep-24,Primary,2121,27,1.3,21,1,2,9.5
