/EstablishmentCollection/EstablishmentDetail/BusinessName,/EstablishmentCollection/EstablishmentDetail/BusinessType,/EstablishmentCollection/EstablishmentDetail/BusinessTypeID,/EstablishmentCollection/EstablishmentDetail/FHRSID,/EstablishmentCollection/EstablishmentDetail/FHRSID/#agg,/EstablishmentCollection/EstablishmentDetail/Geocode/Latitude,/EstablishmentCollection/EstablishmentDetail/Geocode/Longitude,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityBusinessID,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityCode,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityEmailAddress,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityName,/EstablishmentCollection/EstablishmentDetail/NewRatingPending,/EstablishmentCollection/EstablishmentDetail/PostCode,/EstablishmentCollection/EstablishmentDetail/RatingKey,/EstablishmentCollection/EstablishmentDetail/RatingValue,/EstablishmentCollection/EstablishmentDetail/SchemeType,/EstablishmentCollection/EstablishmentDetail/Scores/ConfidenceInManagement,/EstablishmentCollection/EstablishmentDetail/Scores/Hygiene,/EstablishmentCollection/EstablishmentDetail/Scores/Structural,/Header/ExtractDate
(FOOD FACTORY) burgers and fries,Mobile caterer,7846,1821817,1821817,,,AC092024-17970,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
0161 Flamin Grill,Restaurant/Cafe/Canteen,1,1849335,1849335,53.477764,-2.240149,AC052025-22351,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 4GX,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
1 Pharmacy,Retailers - other,4613,1817456,1817456,53.453827,-2.244742,AC-072024-006212,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 4RL,fhrs_exempt_en-GB,Exempt,FHRS,,,,27/01/2026
10 Tib Lane,Restaurant/Cafe/Canteen,1,1817918,1817918,53.48037,-2.244593,AC-072024-006770,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 4JB,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
14Forty,Restaurant/Cafe/Canteen,1,1819461,1819461,53.4612354,-2.2432557,AC-072024-014037,415,envhealth@manchester.gov.uk,Manchester,FALSE,M15 6LD,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
14M HEALTHY SNACKS,Mobile caterer,7846,1816388,1816388,53.5078068,-2.2418987,AC032025-21012,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 9AB,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
19 Cafe Bar,Restaurant/Cafe/Canteen,1,1819790,1819790,53.481935,-2.235184,AC-072024-014422,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 1BY,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
20 Stories,Restaurant/Cafe/Canteen,1,1819746,1819746,,,AC-072024-014370,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 2BA,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
200 Degrees Coffee Shop,Restaurant/Cafe/Canteen,1,1817500,1817500,53.4791803,-2.2411181,AC-072024-006270,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 3HR,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
2205,Other catering premises,7841,1818436,1818436,,,AC-072024-007637,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
234 Food Store,Retailers - other,4613,1831099,1831099,53.4934581,-2.2496938,AC042025-21540,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 8EL,fhrs_3_en-GB,3,FHRS,10,10,10,27/01/2026
2kg of Chocolate,Other catering premises,7841,1831188,1831188,,,AC042025-21860,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
2Nakhon,Restaurant/Cafe/Canteen,1,1818111,1818111,53.4158836,-2.2314931,AC-072024-006993,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6RN,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
2Saucy Ltd,Retailers - other,4613,1818261,1818261,,,AC-072024-007200,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
3 Guys Pizza,Takeaway/sandwich shop,7844,1821228,1821228,53.379257,-2.285502,AC-072024-016188,415,envhealth@manchester.gov.uk,Manchester,FALSE,M23 2UH,fhrs_4_en-GB,4,FHRS,5,10,5,27/01/2026
3 Little Pigs,Retailers - other,4613,1819115,1819115,53.416515,-2.231407,AC-072024-013641,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6WF,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
30 Grams Ltd,Takeaway/sandwich shop,7844,1798233,1798233,53.474661,-2.219344,AC-072024-007452,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6FA,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
33 Oldham Street,Pub/bar/nightclub,7843,1906925,1906925,53.482319,-2.236332,AC122025-25410,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 1JG,fhrs_3_en-GB,3,FHRS,10,5,10,27/01/2026
333 Take Away,Takeaway/sandwich shop,7844,1821362,1821362,53.472697,-2.164476,AC-072024-016361,415,envhealth@manchester.gov.uk,Manchester,FALSE,M11 1JJ,fhrs_3_en-GB,3,FHRS,10,10,10,27/01/2026
4 OF US,Restaurant/Cafe/Canteen,1,1821577,1821577,,,AC-072024-016611,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2RN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
4 Seasons Catering,Mobile caterer,7846,1818028,1818028,,,AC-072024-006896,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
42nd Street,Pub/bar/nightclub,7843,1894310,1894310,53.47853,-2.247746,AC-072024-013452,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 5GU,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
47 kitchen & Catering Ltd,Mobile caterer,7846,1849338,1849338,,,AC062025-22565,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
4One4 Bar & Restaurant,Restaurant/Cafe/Canteen,1,1820560,1820560,53.442703,-2.271927,AC-072024-015403,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 0SD,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
5 Akhis,Restaurant/Cafe/Canteen,1,1894413,1894413,53.4564076,-2.2254181,AC092025-23944,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 5TB,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
532 Bar & Kitchen,Pub/bar/nightclub,7843,1817776,1817776,53.46439362,-2.232208014,AC-072024-006604,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 9PR,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
53two,Restaurant/Cafe/Canteen,1,1817569,1817569,53.4756944,-2.2492348,AC-072024-006346,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 4LP,fhrs_5_en-GB,5,FHRS,0,5,0,27/01/2026
6 Military Intelligence Battalion,Restaurant/Cafe/Canteen,1,1821203,1821203,53.4508299,-2.2182664,AC-072024-016159,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 5LF,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
63 Degrees,Restaurant/Cafe/Canteen,1,1817816,1817816,53.485043,-2.235834,AC-072024-006650,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1HQ,fhrs_5_en-GB,5,FHRS,5,0,0,27/01/2026
7 Smile Deals,Other catering premises,7841,1820049,1820049,,,AC-072024-014770,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
777 Market,Retailers - other,4613,1820474,1820474,53.4710786,-2.2190227,AC-072024-015301,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6BT,fhrs_4_en-GB,4,FHRS,5,10,0,27/01/2026
786 Bishmillah biryani,Takeaway/sandwich shop,7844,1870662,1870662,53.448754,-2.1918758,AC052025-22234,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3AG,fhrs_1_en-GB,1,FHRS,20,15,15,27/01/2026
876 Kitchen,Mobile caterer,7846,1821448,1821448,,,AC-072024-016456,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_4_en-GB,4,FHRS,10,5,0,27/01/2026
