Location,Year,Visits,Loans,PC Usage (hours),Wi-Fi Sessions,Education Participants,Events Attendees,Active Members,Category
Online/Telephone,2020,0.0,75956.0,0.0,0.0,0.0,0.0,279.0,City-Wide
Ebook/audiobook,2020,0.0,582169.0,0.0,0.0,0.0,0.0,0.0,City-Wide
Books to Go,2020,0.0,25460.0,0.0,0.0,0.0,0.0,459.0,City-Wide
Outreach (non library based sessions),2020,0.0,0.0,0.0,0.0,15082.0,87918.0,0.0,City-Wide
Abraham Moss,2020,1540.0,8393.0,2780.0,2648.0,1069.0,1207.0,6415.0,Branch
Arcadia,2020,709.0,8802.0,7857.0,10216.0,168.0,589.0,1828.0,Branch
Avenue,2020,5750.0,9270.0,3046.0,2141.0,93.0,1633.0,2066.0,Branch
Barlow Moor,2020,162.0,610.0,461.0,5110.0,0.0,28.0,113.0,Branch
Beswick,2020,1039.0,4523.0,1941.0,2529.0,89.0,879.0,2022.0,Branch
Brooklands,2020,1688.0,5349.0,1678.0,2876.0,25.0,805.0,740.0,Branch
Burnage,2020,639.0,3611.0,346.0,842.0,80.0,1056.0,813.0,Branch
Central Library,2020,48399.0,58992.0,54879.0,66107.0,1700.0,6498.0,18314.0,Branch
Chorlton,2020,15409.0,37627.0,4722.0,2711.0,364.0,2561.0,5464.0,Branch
Didsbury,2020,7788.0,29256.0,3005.0,4071.0,0.0,1677.0,3895.0,Branch
Fallowfield,2020,0.0,2523.0,4174.0,0.0,55.0,701.0,1171.0,Branch
Forum,2020,8832.0,19070.0,7219.0,6788.0,81.0,1498.0,4101.0,Branch
Gorton,2020,4258.0,8681.0,3444.0,2248.0,252.0,1841.0,1995.0,Branch
Hulme,2020,612.0,5037.0,3156.0,5483.0,200.0,627.0,1185.0,Branch
Longsight,2020,10482.0,19605.0,11815.0,6505.0,1395.0,3815.0,5043.0,Branch
Miles Platting,2020,91.0,539.0,200.0,79.0,0.0,146.0,253.0,Branch
Powerhouse,2020,0.0,2588.0,4196.0,3860.0,200.0,682.0,1161.0,Branch
New Moston,2020,134.0,748.0,213.0,1118.0,0.0,171.0,438.0,Branch
Newton Heath,2020,4448.0,8391.0,2232.0,1449.0,0.0,1340.0,1608.0,Branch
North City (Harpurhey),2020,2672.0,8107.0,5789.0,7667.0,470.0,1682.0,2653.0,Branch
Northenden,2020,0.0,846.0,234.0,286.0,0.0,317.0,240.0,Branch
Withington,2020,10013.0,19838.0,4348.0,6851.0,0.0,1560.0,3645.0,Branch
Branch Totals,2020,124665.0,262406.0,127735.0,141585.0,6241.0,31313.0,65163.0,Summary
Total (including City-Wide),2020,124665.0,945991.0,127735.0,141585.0,21323.0,119231.0,65901.0,Summary
Online/Telephone,2021,0.0,139136.0,0.0,0.0,0.0,0.0,361.0,City-Wide
Ebook/audiobook,2021,0.0,718145.0,0.0,0.0,0.0,0.0,0.0,City-Wide
Books to Go,2021,0.0,35015.0,0.0,0.0,0.0,0.0,413.0,City-Wide
Outreach (non library based sessions),2021,0.0,0.0,0.0,0.0,51428.0,43941.0,0.0,City-Wide
Abraham Moss,2021,9210.0,14263.0,1129.0,0.0,833.0,395.0,4274.0,Branch
Arcadia,2021,23616.0,17701.0,3059.0,0.0,685.0,280.0,1845.0,Branch
Avenue,2021,19851.0,17983.0,3288.0,0.0,206.0,1469.0,1945.0,Branch
Barlow Moor,2021,685.0,1247.0,377.0,0.0,0.0,47.0,329.0,Branch
Beswick,2021,8424.0,11036.0,2372.0,0.0,220.0,1077.0,1794.0,Branch
Brooklands,2021,6946.0,12684.0,1691.0,0.0,27.0,900.0,834.0,Branch
Burnage,2021,4747.0,7662.0,490.0,0.0,138.0,736.0,2369.0,Branch
Central Library,2021,412472.0,80206.0,43864.0,0.0,1387.0,13078.0,22241.0,Branch
Chorlton,2021,54997.0,65793.0,4723.0,0.0,692.0,2941.0,7392.0,Branch
Didsbury,2021,32507.0,48864.0,3344.0,0.0,0.0,905.0,4321.0,Branch
Fallowfield,2021,13052.0,4967.0,2739.0,0.0,76.0,75.0,1276.0,Branch
Forum,2021,39672.0,35243.0,6234.0,0.0,574.0,3365.0,3694.0,Branch
Gorton,2021,11445.0,15547.0,3887.0,0.0,76.0,805.0,1867.0,Branch
Hulme,2021,22571.0,13358.0,2195.0,0.0,0.0,302.0,1380.0,Branch
Longsight,2021,46656.0,36760.0,12432.0,0.0,440.0,800.0,6940.0,Branch
Miles Platting,2021,2605.0,1804.0,232.0,0.0,0.0,876.0,777.0,Branch
Powerhouse,2021,7860.0,8079.0,3077.0,0.0,0.0,1170.0,1191.0,Branch
New Moston,2021,1262.0,1190.0,220.0,0.0,0.0,90.0,1186.0,Branch
Newton Heath,2021,11238.0,14503.0,2693.0,0.0,0.0,1006.0,1507.0,Branch
North City (Harpurhey),2021,18167.0,15063.0,3895.0,0.0,52.0,3536.0,2552.0,Branch
Northenden,2021,1846.0,1678.0,301.0,0.0,0.0,858.0,552.0,Branch
Withington,2021,35182.0,34235.0,5999.0,0.0,126.0,1012.0,6982.0,Branch
Branch Totals,2021,785011.0,459866.0,108241.0,0.0,5532.0,35723.0,77248.0,Summary
Total (including City-Wide),2021,785011.0,1352162.0,108241.0,0.0,56960.0,79664.0,78022.0,Summary
Online/Telephone,2022,0.0,200981.0,0.0,0.0,0.0,0.0,140.0,City-Wide
Ebook/audiobook,2022,0.0,944268.0,0.0,0.0,0.0,0.0,0.0,City-Wide
Books to Go,2022,0.0,36815.0,0.0,0.0,0.0,0.0,426.0,City-Wide
Outreach (non library based sessions),2022,0.0,0.0,0.0,0.0,50529.0,7850.0,0.0,City-Wide
Abraham Moss,2022,13736.0,15265.0,1718.0,0.0,1386.0,1453.0,4495.0,Branch
Arcadia,2022,110817.0,30798.0,8258.0,0.0,969.0,1831.0,3198.0,Branch
Avenue,2022,35700.0,21223.0,5983.0,0.0,934.0,5575.0,2803.0,Branch
Barlow Moor,2022,2023.0,1648.0,547.0,0.0,0.0,34.0,118.0,Branch
Beswick,2022,13067.0,10876.0,3382.0,0.0,639.0,2112.0,2217.0,Branch
Brooklands,2022,14686.0,14803.0,2946.0,0.0,721.0,3752.0,1173.0,Branch
Burnage,2022,12746.0,11438.0,491.0,0.0,1162.0,2590.0,1166.0,Branch
Central Library,2022,1181898.0,99385.0,105990.0,0.0,2801.0,46160.0,32569.0,Branch
Chorlton,2022,104344.0,76789.0,7863.0,0.0,3431.0,7442.0,11790.0,Branch
Didsbury,2022,64107.0,55842.0,3920.0,0.0,178.0,4425.0,5140.0,Branch
Fallowfield,2022,56486.0,6505.0,7187.0,0.0,403.0,2023.0,1556.0,Branch
Forum,2022,103839.0,39253.0,13539.0,0.0,1821.0,14751.0,5390.0,Branch
Gorton,2022,42432.0,18988.0,7365.0,0.0,1178.0,3083.0,3083.0,Branch
Hulme,2022,104510.0,18272.0,8672.0,0.0,0.0,2303.0,1970.0,Branch
Longsight,2022,137277.0,43816.0,24649.0,0.0,5060.0,10578.0,6997.0,Branch
Miles Platting,2022,5151.0,2610.0,630.0,0.0,132.0,1467.0,385.0,Branch
Powerhouse,2022,16239.0,11881.0,7673.0,0.0,0.0,3221.0,1329.0,Branch
New Moston,2022,2860.0,1961.0,605.0,0.0,298.0,424.0,458.0,Branch
Newton Heath,2022,31920.0,13226.0,4952.0,0.0,824.0,5860.0,2315.0,Branch
North City (Harpurhey),2022,47569.0,20208.0,10808.0,0.0,595.0,5183.0,3518.0,Branch
Northenden,2022,4821.0,4310.0,792.0,0.0,0.0,1819.0,297.0,Branch
Withington,2022,74417.0,39234.0,10355.0,0.0,447.0,8569.0,4783.0,Branch
Branch Totals,2022,2180645.0,558331.0,238325.0,0.0,22979.0,134655.0,96750.0,Summary
Total (including City-Wide),2022,2180645.0,1740395.0,238325.0,0.0,73508.0,142505.0,97316.0,Summary
Online/Telephone,2023,0.0,209137.0,0.0,0.0,0.0,0.0,128.0,City-Wide
Ebook/audiobook,2023,0.0,656375.0,0.0,0.0,0.0,0.0,0.0,City-Wide
Books to Go,2023,0.0,42989.0,0.0,0.0,0.0,0.0,454.0,City-Wide
Outreach (non library based sessions),2023,0.0,0.0,0.0,0.0,29774.0,4144.0,0.0,City-Wide
Abraham Moss,2023,88025.0,21114.0,6963.0,0.0,1348.0,6248.0,6219.0,Branch
Arcadia,2023,95978.0,28899.0,9716.0,0.0,963.0,3082.0,3328.0,Branch
Avenue,2023,44257.0,21202.0,7808.0,0.0,1017.0,8311.0,2995.0,Branch
